"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5240","Test for title","chromium","2026-07-05","passed","2026-07-05","","loginpage.spec.ts","",""
"","5540","Test the title of Inventorypage","chromium","2026-07-05","passed","2026-07-05","","inventorypage.spec.ts","",""
"","5214","Test for product count","chromium","2026-07-05","passed","2026-07-05","","inventorypagefixture.spec.ts","",""
"","5853","Test the title of Inventorypage","chromium","2026-07-05","passed","2026-07-05","","inventorypagefixture.spec.ts","",""
"","5449","Test for Login","chromium","2026-07-05","passed","2026-07-05","","loginfixture.spec.ts","",""
"","5871","Test for Products","chromium","2026-07-05","passed","2026-07-05","","inventorypagefixture.spec.ts","",""
"","4997","Test for Login","chromium","2026-07-05","passed","2026-07-05","","loginpage.spec.ts","",""
"","1990","Test for title","chromium","2026-07-05","passed","2026-07-05","","loginfixture.spec.ts","",""
"","4764","Test for Products","chromium","2026-07-05","passed","2026-07-05","","inventorypage.spec.ts","",""
"","4023","Test for product count","chromium","2026-07-05","passed","2026-07-05","","inventorypage.spec.ts","",""
